WorkPosition,Country,Question,Option
Sales Representative,Spain,Question 6,option b
Sales Representative,Spain,Question 7,option b
Sales Representative,Spain,Question 8,option a
Sales Representative,Spain,Question 9,option b
Sales Representative,Spain,Question 10,option b
Sales Representative,Spain,Question 11,option a
Sales Representative,Spain,Question 12,option a
Sales Representative,Spain,Question 13,option a
Sales Representative,Spain,Question 14,option a
Sales Representative,Spain,Question 15,option a
Sales Representative,Spain,Question 16,option b
Sales Representative,Spain,Question 17,option b
Sales Representative,Spain,Question 18,option b
Sales Representative,Spain,Question 19,option a
Sales Representative,Spain,Question 20,option b
Sales Representative,Spain,Question 21,option b
Sales Representative,Spain,Question 22,option a
Sales Representative,Spain,Question 23,option b
Sales Representative,Spain,Question 24,option a
Sales Representative,Spain,Question 25,option b
Sales Representative,Spain,Question 26,option a
Sales Representative,Spain,Question 27,option a
Sales Representative,Spain,Question 28,option a
Sales Representative,Spain,Question 29,option b
Sales Representative,Argentina,Question 1,option b
Sales Representative,Argentina,Question 2,option b
Sales Representative,Argentina,Question 3,option a
Sales Representative,Argentina,Question 4,option b
Sales Representative,Argentina,Question 5,option a
Sales Representative,Argentina,Question 6,option b
Sales Representative,Argentina,Question 7,option b
Sales Representative,Argentina,Question 8,option a
Sales Representative,Argentina,Question 9,option b
Sales Representative,Argentina,Question 10,option b
Sales Representative,Argentina,Question 11,option a
Sales Representative,Argentina,Question 12,option a
Sales Representative,Argentina,Question 13,option a
Sales Representative,Argentina,Question 14,option a
Sales Representative,Argentina,Question 15,option a
Sales Representative,Argentina,Question 16,option b
Sales Representative,Argentina,Question 17,option b
Sales Representative,Argentina,Question 18,option b
Sales Representative,Argentina,Question 19,option a
Sales Representative,Argentina,Question 20,option b
Sales Representative,Argentina,Question 21,option b
Sales Representative,Argentina,Question 22,option a
Sales Representative,Argentina,Question 23,option b
Sales Representative,Argentina,Question 24,option a
Sales Representative,Argentina,Question 25,option b
Sales Representative,Argentina,Question 26,option a
Sales Representative,Argentina,Question 27,option a
Sales Representative,Argentina,Question 28,option a
Sales Representative,Argentina,Question 29,option b
Sales Representative,Germany,Question 1,option b
Sales Representative,Germany,Question 2,option b
Sales Representative,Germany,Question 3,option a
Sales Representative,Germany,Question 4,option b
Sales Representative,Germany,Question 5,option a
Sales Representative,Germany,Question 6,option b
Sales Representative,Germany,Question 7,option b
Sales Representative,Germany,Question 8,option a
Sales Representative,Germany,Question 9,option b
Sales Representative,Germany,Question 10,option b
Sales Representative,Germany,Question 11,option a
Sales Representative,Germany,Question 12,option a
Sales Representative,Germany,Question 13,option a
Sales Representative,Germany,Question 14,option a
Sales Representative,Germany,Question 15,option a
Sales Representative,Germany,Question 16,option b
Sales Representative,Germany,Question 17,option b
Sales Representative,Germany,Question 18,option b
Sales Representative,Germany,Question 19,option a
Sales Representative,Germany,Question 20,option b
Sales Representative,Germany,Question 21,option b
Sales Representative,Germany,Question 22,option a
Sales Representative,Germany,Question 23,option b
Sales Representative,Germany,Question 24,option a
Sales Representative,Germany,Question 25,option b
Sales Representative,Germany,Question 26,option a
Sales Representative,Germany,Question 27,option a
Sales Representative,Germany,Question 28,option a
Sales Representative,Germany,Question 29,option b
Sales Representative,Malta,Question 1,option b
Sales Representative,Malta,Question 2,option b
Sales Representative,Malta,Question 3,option a
Sales Representative,Malta,Question 4,option a
Sales Representative,Malta,Question 5,option a
Sales Representative,Malta,Question 6,option b
Sales Representative,Malta,Question 7,option b
Sales Representative,Malta,Question 8,option a
Sales Representative,Malta,Question 9,option b
Sales Representative,Malta,Question 10,option b
Sales Representative,Malta,Question 11,option a
Sales Representative,Malta,Question 12,option a
Sales Representative,Malta,Question 13,option a
Sales Representative,Malta,Question 14,option a
Sales Representative,Malta,Question 15,option a
Sales Representative,Malta,Question 16,option b
Sales Representative,Malta,Question 17,option b
Sales Representative,Malta,Question 18,option b
Sales Representative,Malta,Question 19,option a
Sales Representative,Malta,Question 20,option b
Sales Representative,Malta,Question 21,option b
Sales Representative,Malta,Question 22,option a
Sales Representative,Malta,Question 23,option b
Sales Representative,Malta,Question 24,option a
Sales Representative,Malta,Question 25,option b
Sales Representative,Malta,Question 26,option a
Sales Representative,Malta,Question 27,option a
Sales Representative,Malta,Question 28,option a
Sales Representative,Malta,Question 29,option b
Sales Representative,United Kingdom,Question 1,option b
Sales Representative,United Kingdom,Question 2,option b
Sales Representative,United Kingdom,Question 3,option a
Sales Representative,United Kingdom,Question 4,option b
Sales Representative,United Kingdom,Question 5,option a
Sales Representative,United Kingdom,Question 6,option b
Sales Representative,United Kingdom,Question 7,option b
Sales Representative,United Kingdom,Question 8,option a
Sales Representative,United Kingdom,Question 9,option b
Sales Representative,United Kingdom,Question 10,option b
Sales Representative,United Kingdom,Question 11,option a
Sales Representative,United Kingdom,Question 12,option a
Sales Representative,United Kingdom,Question 13,option a
Sales Representative,United Kingdom,Question 14,option a
Sales Representative,United Kingdom,Question 15,option a
Sales Representative,United Kingdom,Question 16,option b
Sales Representative,United Kingdom,Question 17,option b
Sales Representative,United Kingdom,Question 18,option b
Sales Representative,United Kingdom,Question 19,option a
Sales Representative,United Kingdom,Question 20,option b
Sales Representative,United Kingdom,Question 21,option b
Sales Representative,United Kingdom,Question 22,option a
Sales Representative,United Kingdom,Question 23,option b
Sales Representative,United Kingdom,Question 24,option a
Sales Representative,United Kingdom,Question 25,option b
Sales Representative,United Kingdom,Question 26,option a
Sales Representative,United Kingdom,Question 27,option a
Sales Representative,United Kingdom,Question 28,option a
Sales Representative,United Kingdom,Question 29,option b
Human Resources,Macedonia,Question 1,option b
Human Resources,Macedonia,Question 2,option b
Human Resources,Macedonia,Question 3,option a
Human Resources,Macedonia,Question 4,option b
Human Resources,Macedonia,Question 5,option a
Human Resources,Macedonia,Question 6,option b
Human Resources,Macedonia,Question 7,option b
Human Resources,Macedonia,Question 8,option a
Human Resources,Macedonia,Question 9,option b
Human Resources,Macedonia,Question 10,option b
Human Resources,Macedonia,Question 11,option a
Human Resources,Macedonia,Question 12,option a
Human Resources,Macedonia,Question 13,option a
Human Resources,Macedonia,Question 14,option a
Human Resources,Macedonia,Question 15,option a
Human Resources,Macedonia,Question 16,option b
Human Resources,Macedonia,Question 17,option b
Human Resources,Macedonia,Question 18,option b
Human Resources,Macedonia,Question 19,option a
Human Resources,Macedonia,Question 20,option b
Human Resources,Macedonia,Question 21,option b
Human Resources,Macedonia,Question 22,option a
Human Resources,Macedonia,Question 23,option b
Human Resources,Macedonia,Question 24,option a
Human Resources,Macedonia,Question 25,option b
Human Resources,Macedonia,Question 26,option a
Human Resources,Macedonia,Question 27,option a
Human Resources,Macedonia,Question 28,option a
Human Resources,Macedonia,Question 29,option b
Human Resources,Canada,Question 1,option b
Human Resources,Canada,Question 2,option b
Human Resources,Canada,Question 3,option a
Human Resources,Canada,Question 4,option b
Human Resources,Canada,Question 5,option a
Human Resources,Canada,Question 6,option b
Human Resources,Canada,Question 7,option b
Human Resources,Canada,Question 8,option b
Human Resources,Canada,Question 9,option b
Human Resources,Canada,Question 10,option b
Human Resources,Canada,Question 11,option a
Human Resources,Canada,Question 12,option a
Human Resources,Canada,Question 13,option a
Human Resources,Canada,Question 14,option a
Human Resources,Canada,Question 15,option a
Human Resources,Canada,Question 16,option b
Human Resources,Canada,Question 17,option b
Human Resources,Canada,Question 18,option b
Human Resources,Canada,Question 19,option a
Human Resources,Canada,Question 20,option b
Human Resources,Canada,Question 21,option b
Human Resources,Canada,Question 22,option a
Human Resources,Canada,Question 23,option b
Human Resources,Canada,Question 24,option a
Human Resources,Canada,Question 25,option b
Human Resources,Canada,Question 26,option a
Human Resources,Canada,Question 27,option a
Human Resources,Canada,Question 28,option a
Human Resources,Canada,Question 29,option b
Human Resources,Spain,Question 1,option b
Human Resources,Spain,Question 2,option b
Human Resources,Spain,Question 3,option a
Human Resources,Spain,Question 4,option b
Human Resources,Spain,Question 5,option a
Human Resources,Spain,Question 6,option b
Human Resources,Spain,Question 7,option b
Human Resources,Spain,Question 8,option b
Human Resources,Spain,Question 9,option b
Human Resources,Spain,Question 10,option b
Human Resources,Spain,Question 11,option a
Human Resources,Spain,Question 12,option a
Human Resources,Spain,Question 13,option a
Human Resources,Spain,Question 14,option a
Human Resources,Spain,Question 15,option a
Human Resources,Spain,Question 16,option b
Human Resources,Spain,Question 17,option b
Human Resources,Spain,Question 18,option b
Human Resources,Spain,Question 19,option a
Human Resources,Spain,Question 20,option b
Human Resources,Spain,Question 21,option b
Human Resources,Spain,Question 22,option a
Human Resources,Spain,Question 23,option b
Human Resources,Spain,Question 24,option a
Human Resources,Spain,Question 25,option b
Human Resources,Spain,Question 26,option a
Human Resources,Spain,Question 27,option a
Human Resources,Spain,Question 28,option a
Human Resources,Spain,Question 29,option b
Human Resources,Argentina,Question 1,option b
Human Resources,Argentina,Question 2,option b
Human Resources,Argentina,Question 3,option a
Human Resources,Argentina,Question 4,option b
Human Resources,Argentina,Question 5,option a
Human Resources,Argentina,Question 6,option b
Human Resources,Argentina,Question 7,option b
Human Resources,Argentina,Question 8,option a
Human Resources,Argentina,Question 9,option b
Human Resources,Argentina,Question 10,option b
Human Resources,Argentina,Question 11,option a
Human Resources,Argentina,Question 12,option a
Human Resources,Argentina,Question 13,option a
Human Resources,Argentina,Question 14,option a
Human Resources,Argentina,Question 15,option a
Human Resources,Argentina,Question 16,option b
Human Resources,Argentina,Question 17,option b
Human Resources,Argentina,Question 18,option b
Human Resources,Argentina,Question 19,option a
Human Resources,Argentina,Question 20,option b
Human Resources,Argentina,Question 21,option b
Human Resources,Argentina,Question 22,option a
Human Resources,Argentina,Question 23,option b
Human Resources,Argentina,Question 24,option a
Human Resources,Argentina,Question 25,option b
Human Resources,Argentina,Question 26,option a
Human Resources,Argentina,Question 27,option a
Human Resources,Argentina,Question 28,option a
Human Resources,Argentina,Question 29,option b
Human Resources,Germany,Question 1,option b
Human Resources,Germany,Question 2,option b
Human Resources,Germany,Question 3,option a
Human Resources,Germany,Question 4,option b
Human Resources,Germany,Question 5,option a
Human Resources,Germany,Question 6,option b
Human Resources,Germany,Question 7,option b
Human Resources,Germany,Question 8,option a
Human Resources,Germany,Question 9,option b
Human Resources,Germany,Question 10,option b
Human Resources,Germany,Question 11,option a
Human Resources,Germany,Question 12,option a
Human Resources,Germany,Question 13,option a
Human Resources,Germany,Question 14,option a
Human Resources,Germany,Question 15,option a
Human Resources,Germany,Question 16,option b
Human Resources,Germany,Question 17,option b
Human Resources,Germany,Question 18,option b
Human Resources,Germany,Question 19,option a
Human Resources,Germany,Question 20,option b
Human Resources,Germany,Question 21,option b
Human Resources,Germany,Question 22,option a
Human Resources,Germany,Question 23,option b
Human Resources,Germany,Question 24,option a
Human Resources,Germany,Question 25,option b
Human Resources,Germany,Question 26,option a
Human Resources,Germany,Question 27,option a
Human Resources,Germany,Question 28,option a
Human Resources,Germany,Question 29,option b
Human Resources,Malta,Question 1,option b
Human Resources,Malta,Question 2,option b
Human Resources,Malta,Question 3,option a
Human Resources,Malta,Question 4,option b
Human Resources,Malta,Question 5,option a
Human Resources,Malta,Question 6,option b
Human Resources,Malta,Question 7,option b
Human Resources,Malta,Question 8,option b
Human Resources,Malta,Question 9,option b
Human Resources,Malta,Question 10,option b
Human Resources,Malta,Question 11,option a
Human Resources,Malta,Question 12,option a
Human Resources,Malta,Question 13,option a
Human Resources,Malta,Question 14,option a
Human Resources,Malta,Question 15,option a
Human Resources,Malta,Question 16,option b
Human Resources,Malta,Question 17,option b
Human Resources,Malta,Question 18,option b
Human Resources,Malta,Question 19,option a
Human Resources,Malta,Question 20,option b
Human Resources,Malta,Question 21,option b
Human Resources,Malta,Question 22,option a
Human Resources,Malta,Question 23,option b
Human Resources,Malta,Question 24,option a
Human Resources,Malta,Question 25,option b
Human Resources,Malta,Question 26,option a
Human Resources,Malta,Question 27,option a
Human Resources,Malta,Question 28,option a
Human Resources,Malta,Question 29,option b
Human Resources,United Kingdom,Question 1,option b
Human Resources,United Kingdom,Question 2,option b
Human Resources,United Kingdom,Question 3,option a
Human Resources,United Kingdom,Question 4,option b
Human Resources,United Kingdom,Question 5,option a
Human Resources,United Kingdom,Question 6,option b
Human Resources,United Kingdom,Question 7,option b
Human Resources,United Kingdom,Question 8,option b
Human Resources,United Kingdom,Question 9,option b
Human Resources,United Kingdom,Question 10,option b
Human Resources,United Kingdom,Question 11,option a
Human Resources,United Kingdom,Question 12,option a
Human Resources,United Kingdom,Question 13,option a
Human Resources,United Kingdom,Question 14,option a
Human Resources,United Kingdom,Question 15,option a
Human Resources,United Kingdom,Question 16,option b
Human Resources,United Kingdom,Question 17,option b
Human Resources,United Kingdom,Question 18,option b
Human Resources,United Kingdom,Question 19,option a
Human Resources,United Kingdom,Question 20,option b
Human Resources,United Kingdom,Question 21,option b
Human Resources,United Kingdom,Question 22,option a
Human Resources,United Kingdom,Question 23,option b
Human Resources,United Kingdom,Question 24,option a
Human Resources,United Kingdom,Question 25,option b
Human Resources,United Kingdom,Question 26,option a
Human Resources,United Kingdom,Question 27,option a
Human Resources,United Kingdom,Question 28,option a
Human Resources,United Kingdom,Question 29,option b
Business Analyst,Macedonia,Question 1,option b
Business Analyst,Macedonia,Question 2,option b
Business Analyst,Macedonia,Question 3,option a
Business Analyst,Macedonia,Question 4,option b
Business Analyst,Macedonia,Question 5,option a
Business Analyst,Macedonia,Question 6,option b
Business Analyst,Macedonia,Question 7,option b
Business Analyst,Macedonia,Question 8,option a
Business Analyst,Macedonia,Question 9,option b
Business Analyst,Macedonia,Question 10,option b
Business Analyst,Macedonia,Question 11,option a
Business Analyst,Macedonia,Question 12,option a
Business Analyst,Macedonia,Question 13,option a
Business Analyst,Macedonia,Question 14,option a
Business Analyst,Macedonia,Question 15,option a
Business Analyst,Macedonia,Question 16,option b
Business Analyst,Macedonia,Question 17,option b
Business Analyst,Macedonia,Question 18,option b
Business Analyst,Macedonia,Question 19,option a
Business Analyst,Macedonia,Question 20,option b
Business Analyst,Macedonia,Question 21,option b
Business Analyst,Macedonia,Question 22,option a
Business Analyst,Macedonia,Question 23,option b
Business Analyst,Macedonia,Question 24,option a
Business Analyst,Macedonia,Question 25,option b
Business Analyst,Macedonia,Question 26,option a
Business Analyst,Macedonia,Question 27,option a
Business Analyst,Macedonia,Question 28,option a
Business Analyst,Macedonia,Question 29,option b
Business Analyst,Canada,Question 1,option b
Business Analyst,Canada,Question 2,option b
Business Analyst,Canada,Question 3,option a
Business Analyst,Canada,Question 4,option b
Business Analyst,Canada,Question 5,option a
Business Analyst,Canada,Question 6,option b
Business Analyst,Canada,Question 7,option b
Business Analyst,Canada,Question 8,option b
Business Analyst,Canada,Question 9,option b
Business Analyst,Canada,Question 10,option b
Business Analyst,Canada,Question 11,option a
Business Analyst,Canada,Question 12,option a
Business Analyst,Canada,Question 13,option a
Business Analyst,Canada,Question 14,option a
Business Analyst,Canada,Question 15,option a
Business Analyst,Canada,Question 16,option b
Business Analyst,Canada,Question 17,option b
Business Analyst,Canada,Question 18,option b
Business Analyst,Canada,Question 19,option a
Business Analyst,Canada,Question 20,option b
Business Analyst,Canada,Question 21,option b
Business Analyst,Canada,Question 22,option a
Business Analyst,Canada,Question 23,option b
Business Analyst,Canada,Question 24,option a
Business Analyst,Canada,Question 25,option b
Business Analyst,Canada,Question 26,option a
Business Analyst,Canada,Question 27,option a
Business Analyst,Canada,Question 28,option a
Business Analyst,Canada,Question 29,option b
Business Analyst,Spain,Question 1,option b
Business Analyst,Spain,Question 2,option b
Business Analyst,Spain,Question 3,option a
Business Analyst,Spain,Question 4,option b
Business Analyst,Spain,Question 5,option a
Business Analyst,Spain,Question 6,option b
Business Analyst,Spain,Question 7,option b
Business Analyst,Spain,Question 8,option a
Business Analyst,Spain,Question 9,option b
Business Analyst,Spain,Question 10,option b
Business Analyst,Spain,Question 11,option a
Business Analyst,Spain,Question 12,option a
Business Analyst,Spain,Question 13,option a
Business Analyst,Spain,Question 14,option a
Business Analyst,Spain,Question 15,option a
Business Analyst,Spain,Question 16,option b
Business Analyst,Spain,Question 17,option b
Business Analyst,Spain,Question 18,option b
Business Analyst,Spain,Question 19,option a
Business Analyst,Spain,Question 20,option b
Business Analyst,Spain,Question 21,option b
Business Analyst,Spain,Question 22,option a
Business Analyst,Spain,Question 23,option b
Business Analyst,Spain,Question 24,option a
Business Analyst,Spain,Question 25,option b
Business Analyst,Spain,Question 26,option a
Business Analyst,Spain,Question 27,option a
Business Analyst,Spain,Question 28,option a
Business Analyst,Spain,Question 29,option b
Business Analyst,Argentina,Question 1,option b
Business Analyst,Argentina,Question 2,option b
Business Analyst,Argentina,Question 3,option a
Business Analyst,Argentina,Question 4,option b
Business Analyst,Argentina,Question 5,option a
Business Analyst,Argentina,Question 6,option b
Business Analyst,Argentina,Question 7,option b
Business Analyst,Argentina,Question 8,option a
Business Analyst,Argentina,Question 9,option b
Business Analyst,Argentina,Question 10,option b
Business Analyst,Argentina,Question 11,option a
Business Analyst,Argentina,Question 12,option a
Business Analyst,Argentina,Question 13,option a
Business Analyst,Argentina,Question 14,option a
Business Analyst,Argentina,Question 15,option a
Business Analyst,Argentina,Question 16,option b
Business Analyst,Argentina,Question 17,option b
Business Analyst,Argentina,Question 18,option b
Business Analyst,Argentina,Question 19,option a
Business Analyst,Argentina,Question 20,option b
Business Analyst,Argentina,Question 21,option b
Business Analyst,Argentina,Question 22,option a
Business Analyst,Argentina,Question 23,option b
Business Analyst,Argentina,Question 24,option a
Business Analyst,Argentina,Question 25,option b
Business Analyst,Argentina,Question 26,option a
Business Analyst,Argentina,Question 27,option a
Business Analyst,Argentina,Question 28,option a
Business Analyst,Argentina,Question 29,option b
Business Analyst,Germany,Question 1,option b
Business Analyst,Germany,Question 2,option b
Business Analyst,Germany,Question 3,option a
Business Analyst,Germany,Question 4,option b
Business Analyst,Germany,Question 5,option a
Business Analyst,Germany,Question 6,option b
Business Analyst,Germany,Question 7,option b
Business Analyst,Germany,Question 8,option b
Business Analyst,Germany,Question 9,option b
Business Analyst,Germany,Question 10,option b
Business Analyst,Germany,Question 11,option a
Business Analyst,Germany,Question 12,option a
Business Analyst,Germany,Question 13,option a
Business Analyst,Germany,Question 14,option a
Business Analyst,Germany,Question 15,option a
Business Analyst,Germany,Question 16,option b
Business Analyst,Germany,Question 17,option b
Business Analyst,Germany,Question 18,option b
Business Analyst,Germany,Question 19,option a
Business Analyst,Germany,Question 20,option b
Business Analyst,Germany,Question 21,option b
Business Analyst,Germany,Question 22,option a
Business Analyst,Germany,Question 23,option b
Business Analyst,Germany,Question 24,option a
Business Analyst,Germany,Question 25,option b
Business Analyst,Germany,Question 26,option a
Business Analyst,Germany,Question 27,option a
Business Analyst,Germany,Question 28,option a
Business Analyst,Germany,Question 29,option b
Business Analyst,Malta,Question 1,option b
Business Analyst,Malta,Question 2,option b
Business Analyst,Malta,Question 3,option a
Business Analyst,Malta,Question 4,option b
Business Analyst,Malta,Question 5,option a
Business Analyst,Malta,Question 6,option b
Business Analyst,Malta,Question 7,option b
Business Analyst,Malta,Question 8,option a
Business Analyst,Malta,Question 9,option b
Business Analyst,Malta,Question 10,option b
Business Analyst,Malta,Question 11,option a
Business Analyst,Malta,Question 12,option a
Business Analyst,Malta,Question 13,option a
Business Analyst,Malta,Question 14,option a
Business Analyst,Malta,Question 15,option a
Business Analyst,Malta,Question 16,option b
Business Analyst,Malta,Question 17,option b
Business Analyst,Malta,Question 18,option b
Business Analyst,Malta,Question 19,option a
Business Analyst,Malta,Question 20,option b
Business Analyst,Malta,Question 21,option b
Business Analyst,Malta,Question 22,option a
Business Analyst,Malta,Question 23,option b
Business Analyst,Malta,Question 24,option a
Business Analyst,Malta,Question 25,option b
Business Analyst,Malta,Question 26,option a
Business Analyst,Malta,Question 27,option a
Business Analyst,Malta,Question 28,option a
Business Analyst,Malta,Question 29,option b
Business Analyst,United Kingdom,Question 1,option b
Business Analyst,United Kingdom,Question 2,option b
Business Analyst,United Kingdom,Question 3,option a
Business Analyst,United Kingdom,Question 4,option b
Business Analyst,United Kingdom,Question 5,option a
Business Analyst,United Kingdom,Question 6,option b
Business Analyst,United Kingdom,Question 7,option b
Business Analyst,United Kingdom,Question 8,option b
Business Analyst,United Kingdom,Question 9,option b
Business Analyst,United Kingdom,Question 10,option b
Business Analyst,United Kingdom,Question 11,option a
Business Analyst,United Kingdom,Question 12,option a
Business Analyst,United Kingdom,Question 13,option a
Business Analyst,United Kingdom,Question 14,option a
Business Analyst,United Kingdom,Question 15,option a
Business Analyst,United Kingdom,Question 16,option b
Business Analyst,United Kingdom,Question 17,option b
Business Analyst,United Kingdom,Question 18,option b
Business Analyst,United Kingdom,Question 19,option a
Business Analyst,United Kingdom,Question 20,option b
Business Analyst,United Kingdom,Question 21,option b
Business Analyst,United Kingdom,Question 22,option a
Business Analyst,United Kingdom,Question 23,option b
Business Analyst,United Kingdom,Question 24,option a
Business Analyst,United Kingdom,Question 25,option b
Business Analyst,United Kingdom,Question 26,option a
Business Analyst,United Kingdom,Question 27,option a
Business Analyst,United Kingdom,Question 28,option a
Business Analyst,United Kingdom,Question 29,option b
